agent_path,black,white,total_wins
./fhtw_hex/langela_marcon/models/7x7/dql/2_256_fc/2024-06-24_20-52-39_ppo-4,151,158,309
./fhtw_hex/langela_marcon/models/7x7/dojo/2/dql/2_256_conv/2024-06-25_02-27-38_ppo-36-group-0-51-group-1-118-group-2,143,151,294
./fhtw_hex/langela_marcon/models/7x7/dql/2_256_fc/2024-06-24_20-44-33_ppo-3,143,140,283
./fhtw_hex/langela_marcon/models/7x7/dojo/1/dql/2_256_fc/2024-06-24_20-52-39_ppo-1-15-group-0-70-group-1,135,148,283
./fhtw_hex/langela_marcon/models/7x7/dojo/2/dql/2_256_conv/2024-06-25_02-39-34_ppo-36-group-0-59-group-1-118-group-2,122,154,276
./fhtw_hex/langela_marcon/models/7x7/dojo/1/dql/3_256_conv/2024-06-25_01-29-44_ppo-36-group-0-51-group-1,133,140,273
./fhtw_hex/langela_marcon/models/7x7/dql/2_256_fc/2024-06-24_20-44-33_ppo-5,133,140,273
./fhtw_hex/langela_marcon/models/7x7/dql/3_256_conv/2024-06-25_01-29-44_ppo-1,133,140,273
./fhtw_hex/langela_marcon/models/7x7/dojo/2/dql/2_256_conv/2024-06-25_02-39-34_ppo-38-group-0-59-group-1-118-group-2,129,143,272
./fhtw_hex/langela_marcon/models/7x7/dql/2_256_fc/2024-06-24_20-52-39_ppo-2,127,145,272
./fhtw_hex/langela_marcon/models/7x7/dojo/1/dql/2_256_fc/2024-06-24_20-52-39_ppo-15-group-0-59-group-1,126,144,270
./fhtw_hex/langela_marcon/models/7x7/dojo/5/dql/2_256_conv/2024-06-25_02-27-38_ppo-36-group-0-51-group-1-51-group-2-55-group-3-67-group-4-69-group-5,123,143,266
./fhtw_hex/langela_marcon/models/7x7/dql/2_256_conv/2024-06-25_02-27-38_ppo-5,123,143,266
./fhtw_hex/langela_marcon/models/7x7/dojo/2/dql/2_256_fc/2024-06-24_20-59-32_ppo-38-group-0-59-group-1-118-group-2,134,131,265
./fhtw_hex/langela_marcon/models/7x7/dql/2_256_fc/2024-06-24_20-51-45_ppo-29-group-0-30-group-1-32-group-2-32-group-3,129,134,263
./fhtw_hex/langela_marcon/models/7x7/dql/3_256_conv/2024-06-25_01-29-44_ppo-0,124,138,262
./fhtw_hex/langela_marcon/models/7x7/dql/3_256_conv/2024-06-25_01-29-44_ppo,120,136,256
./fhtw_hex/langela_marcon/models/7x7/dojo/3/dql/2_256_conv/2024-06-25_02-51-25_ppo-38-group-0-51-group-1-51-group-2-61-group-3,115,137,252
./fhtw_hex/langela_marcon/models/7x7/dojo/2/dql/2_256_conv/2024-06-25_02-33-35_ppo-36-group-0-59-group-1-118-group-2,123,128,251
./fhtw_hex/langela_marcon/models/7x7/dql/2_256_fc/2024-06-24_20-52-39_ppo,117,132,249
./fhtw_hex/langela_marcon/models/7x7/dql/2_256_fc/2024-06-24_20-51-45_ppo,116,132,248
./fhtw_hex/langela_marcon/models/7x7/dojo/5/dql/2_256_fc/2024-06-23_01-13-25_ppo-12-group-0-30-group-0-30-group-1-32-group-2-38-group-0-51-group-1-51-group-2-67-group-3-69-group-4-69-group-5,109,136,245
./fhtw_hex/langela_marcon/models/7x7/dojo/2/dql/2_256_fc/2024-06-24_20-51-45_ppo-38-group-0-51-group-1-51-group-2,117,126,243
./fhtw_hex/langela_marcon/models/7x7/dql/2_256_fc/2024-06-24_20-51-45_ppo-2,117,126,243
./fhtw_hex/langela_marcon/models/7x7/dojo/4/dql/2_256_fc/2024-06-24_20-45-35_ppo-38-group-0-51-group-1-55-group-2-67-group-3-69-group-4,115,126,241
./fhtw_hex/langela_marcon/models/7x7/dojo/5/dql/2_256_conv/2024-06-25_02-33-35_ppo-36-group-0-51-group-1-51-group-2-55-group-3-67-group-4-69-group-5,117,123,240
./fhtw_hex/langela_marcon/models/7x7/dojo/1/dql/2_256_conv/2024-06-25_02-33-35_ppo-38-group-0-59-group-1,115,125,240
./fhtw_hex/langela_marcon/models/7x7/dojo/1/dql/2_256_conv/2024-06-25_02-14-55_ppo-36-group-0-59-group-1,114,125,239
./fhtw_hex/langela_marcon/models/7x7/dojo/1/dql/2_256_fc/2024-06-24_20-49-43_ppo-38-group-0-59-group-1,123,116,239
./fhtw_hex/langela_marcon/models/7x7/dql/2_256_fc/2024-06-24_20-52-39_ppo-1,121,114,235
./fhtw_hex/langela_marcon/models/7x7/dojo/1/dql/2_256_fc/2024-06-24_20-52-39_ppo-38-group-0-51-group-1,121,114,235
./fhtw_hex/langela_marcon/models/7x7/dojo/2/dql/2_256_fc/2024-06-24_20-51-45_ppo-2-15-group-0-59-group-1-118-group-2,111,124,235
./fhtw_hex/langela_marcon/models/7x7/dojo/4/dql/2_256_fc/2024-06-22_23-39-23_ppo-14-group-0 copy-30-group-0-38-group-0-51-group-1-51-group-2-67-group-3-69-group-4,114,119,233
./fhtw_hex/langela_marcon/models/7x7/dojo/2/dql/2_256_fc/2024-06-24_20-52-39_ppo-15-group-0-59-group-1-118-group-2,110,121,231
./fhtw_hex/langela_marcon/models/7x7/dojo/2/dql/2_256_conv/2024-06-25_02-21-35_ppo-38-group-0-51-group-1-51-group-2,108,123,231
./fhtw_hex/langela_marcon/models/7x7/dojo/5/dql/2_256_conv/2024-06-25_02-21-35_ppo-36-group-0-51-group-1-51-group-2-55-group-3-67-group-4-69-group-5,108,123,231
./fhtw_hex/langela_marcon/models/7x7/dojo/2/dql/2_256_conv/2024-06-25_02-39-34_ppo-38-group-0-51-group-1-118-group-2,112,117,229
./fhtw_hex/langela_marcon/models/7x7/dql/2_256_fc/2024-06-24_20-44-33_ppo-30-group-0,117,111,228
./fhtw_hex/langela_marcon/models/7x7/dojo/0/dql/2_256_conv/2024-06-25_02-27-38_ppo-36-group-0,114,114,228
./fhtw_hex/langela_marcon/models/7x7/dql/3_256_conv/2024-06-25_09-52-04_dql,103,124,227
./fhtw_hex/langela_marcon/models/7x7/dojo/4/dql/2_256_conv/2024-06-25_02-51-25_ppo-38-group-0-51-group-1-51-group-2-61-group-3-67-group-4,110,117,227
./fhtw_hex/langela_marcon/models/7x7/dql/2_256_fc/2024-06-24_20-44-33_ppo,109,116,225
./fhtw_hex/langela_marcon/models/7x7/dojo/3/dql/2_256_fc/2024-06-24_20-49-43_ppo-38-group-0-51-group-1-51-group-2-67-group-3,113,112,225
./fhtw_hex/langela_marcon/models/7x7/dojo/4/dql/2_256_conv/2024-06-25_02-14-55_ppo-36-group-0-51-group-1-51-group-2-55-group-3-67-group-4,108,117,225
./fhtw_hex/langela_marcon/models/7x7/dojo/2/dql/2_256_fc/2024-06-24_20-52-39_ppo-2-15-group-0-70-group-1-118-group-2,104,120,224
./fhtw_hex/langela_marcon/models/7x7/dojo/0/dql/2_256_conv/2024-06-25_02-21-35_ppo-36-group-0,98,124,222
./fhtw_hex/langela_marcon/models/7x7/dojo/2/dql/2_256_fc/2024-06-23_01-13-25_ppo-12-group-0-30-group-0-30-group-1-32-group-2-38-group-0-51-group-1-118-group-2,105,117,222
./fhtw_hex/langela_marcon/models/7x7/dojo/1/dql/2_256_fc/2024-06-24_20-58-04_ppo-30-group-0-30-group-1-32-group-2-38-group-0-59-group-1,108,112,220
./fhtw_hex/langela_marcon/models/7x7/dojo/2/dql/2_256_conv/2024-06-25_02-27-38_ppo-5-failed-59-group-1-118-group-2,102,117,219
./fhtw_hex/langela_marcon/models/7x7/dojo/1/dql/2_256_fc/2024-06-24_20-52-39_ppo-4-15-group-0-59-group-1,109,110,219
./fhtw_hex/langela_marcon/models/7x7/dojo/1/dql/2_256_conv/2024-06-25_02-14-55_ppo-38-group-0-59-group-1,108,111,219
./fhtw_hex/langela_marcon/models/7x7/dojo/1/dql/2_256_fc/2024-06-24_20-52-39_ppo-2-15-group-0-70-group-1,115,103,218
./fhtw_hex/langela_marcon/models/7x7/dojo/0/dql/2_256_fc/2024-06-24_20-52-39_ppo-1-15-group-0,100,117,217
./fhtw_hex/langela_marcon/models/7x7/dojo/1/dql/2_256_fc/2024-06-24_20-44-33_ppo-5-15-group-0-59-group-1,99,114,213
./fhtw_hex/langela_marcon/models/7x7/dojo/2/dql/2_256_conv/2024-06-25_02-27-38_ppo-38-group-0-59-group-1-118-group-2,103,110,213
./fhtw_hex/langela_marcon/models/7x7/dojo/5/dql/3_256_conv/2024-06-25_01-29-44_ppo-36-group-0-51-group-1-51-group-2-55-group-3-67-group-4-69-group-5,102,111,213
./fhtw_hex/langela_marcon/models/7x7/dojo/1/dql/2_256_fc/2024-06-24_20-58-44_ppo-38-group-0-59-group-1,109,103,212
./fhtw_hex/langela_marcon/models/7x7/dojo/3/dql/2_256_conv/2024-06-25_02-21-35_ppo-38-group-0-51-group-1-51-group-2-55-group-3,96,112,208
./fhtw_hex/langela_marcon/models/7x7/dojo/2/dql/2_256_conv/2024-06-25_02-27-38_ppo-36-group-0-59-group-1-118-group-2,98,110,208
./fhtw_hex/langela_marcon/models/7x7/dojo/3/dql/2_256_conv/2024-06-25_02-39-34_ppo-36-group-0-51-group-1-51-group-2-55-group-3,99,106,205
./fhtw_hex/langela_marcon/models/7x7/dojo/5/dql/2_256_fc/2024-06-24_20-59-32_ppo-30-group-0-30-group-1-32-group-2-32-group-3-32-group-4-38-group-0-51-group-1-51-group-2-67-group-3-69-group-4-69-group-5,108,96,204
./fhtw_hex/langela_marcon/models/7x7/dojo/2/dql/2_256_fc/2024-06-24_20-44-33_ppo-3-15-group-0-59-group-1-118-group-2,90,113,203
./fhtw_hex/langela_marcon/models/7x7/dojo/0/dql/2_256_fc/2024-06-24_20-52-39_ppo-15-group-0,99,104,203
./fhtw_hex/langela_marcon/models/7x7/dql/2_256_fc/2024-06-24_20-44-33_ppo-30-group-0-30-group-1-32-group-2,98,104,202
./fhtw_hex/langela_marcon/models/7x7/dql/3_256_conv/2024-06-25_09-39-13_dql,94,107,201
./fhtw_hex/langela_marcon/models/7x7/dojo/5/dql/2_256_conv/2024-06-25_02-21-35_ppo-38-group-0-51-group-1-51-group-2-55-group-3-67-group-4-69-group-5,94,106,200
./fhtw_hex/langela_marcon/models/7x7/dojo/2/dql/2_256_conv/2024-06-25_02-27-38_ppo-38-group-0-51-group-1-51-group-2,98,102,200
./fhtw_hex/langela_marcon/models/7x7/dojo/0/dql/2_256_fc/2024-06-24_20-52-39_ppo-4-15-group-0,96,104,200
./fhtw_hex/langela_marcon/models/7x7/dojo/2/dql/2_256_conv/2024-06-25_02-51-25_ppo-38-group-0-59-group-1-118-group-2,89,110,199
./fhtw_hex/langela_marcon/models/7x7/dojo/2/dql/2_256_fc/2024-06-24_20-52-39_ppo-4-15-group-0-59-group-1-118-group-2,99,100,199
./fhtw_hex/langela_marcon/models/7x7/dql/2_256_conv/2024-06-25_02-39-34_ppo,95,103,198
./fhtw_hex/langela_marcon/models/7x7/dojo/2/dql/2_256_fc/2024-06-23_01-13-25_ppo-12-group-0-30-group-0-30-group-1-32-group-2-38-group-0-51-group-1-51-group-2,86,112,198
./fhtw_hex/langela_marcon/models/7x7/dojo/1/dql/2_256_fc/2024-06-24_20-52-39_ppo-30-group-0-30-group-1-32-group-2-38-group-0-59-group-1,98,98,196
./fhtw_hex/langela_marcon/models/7x7/dojo/1/dql/2_256_fc/2024-06-24_20-59-32_ppo-30-group-0-30-group-1-32-group-2-32-group-3-32-group-4-38-group-0-59-group-1,97,98,195
./fhtw_hex/langela_marcon/models/7x7/dojo/2/dql/2_256_fc/2024-06-24_20-58-44_ppo-38-group-0-59-group-1-118-group-2,86,109,195
./fhtw_hex/langela_marcon/models/7x7/dojo/2/dql/2_256_conv/2024-06-25_02-14-55_ppo-38-group-0-51-group-1-51-group-2,84,109,193
./fhtw_hex/langela_marcon/models/7x7/dojo/1/dql/2_256_fc/2024-06-24_20-45-35_ppo-38-group-0-59-group-1,102,90,192
./fhtw_hex/langela_marcon/models/7x7/dojo/0/dql/2_256_fc/2024-06-24_20-51-45_ppo-2-15-group-0,97,93,190
./fhtw_hex/langela_marcon/models/7x7/dojo/2/dql/2_256_conv/2024-06-25_02-14-55_ppo-36-group-0-51-group-1-51-group-2,86,104,190
./fhtw_hex/langela_marcon/models/7x7/dojo/1/dql/2_256_fc/2024-06-24_20-51-45_ppo-2-15-group-0-59-group-1,91,99,190
./fhtw_hex/langela_marcon/models/7x7/dojo/0/dql/3_256_conv/2024-06-25_01-29-44_ppo-15-group-0,85,104,189
./fhtw_hex/langela_marcon/models/7x7/dojo/2/dql/2_256_conv/2024-06-25_02-33-35_ppo-38-group-0-51-group-1-118-group-2,89,100,189
./fhtw_hex/langela_marcon/models/7x7/dojo/2/dql/3_256_conv/2024-06-25_01-29-44_ppo-36-group-0-51-group-1-51-group-2,90,97,187
./fhtw_hex/langela_marcon/models/7x7/dojo/0/dql/2_256_conv/2024-06-25_02-14-55_ppo-36-group-0,87,100,187
./fhtw_hex/langela_marcon/models/7x7/dojo/5/dql/2_256_conv/2024-06-25_02-33-35_ppo-38-group-0-51-group-1-51-group-2-55-group-3-67-group-4-69-group-5,83,103,186
./fhtw_hex/langela_marcon/models/7x7/dojo/5/dql/2_256_conv/2024-06-25_02-39-34_ppo-38-group-0-51-group-1-51-group-2-55-group-3-67-group-4-69-group-5,92,94,186
./fhtw_hex/langela_marcon/models/7x7/dojo/5/dql/2_256_conv/2024-06-25_02-51-25_ppo-38-group-0-51-group-1-51-group-2-61-group-3-67-group-4-69-group-5,94,92,186
./fhtw_hex/langela_marcon/models/7x7/dojo/1/dql/2_256_fc/2024-06-24_21-00-29_ppo-38-group-0-51-group-1,86,95,181
./fhtw_hex/langela_marcon/models/7x7/dojo/1/dql/3_256_conv/2024-06-25_01-29-44_ppo-36-group-0-70-group-1,79,102,181
./fhtw_hex/langela_marcon/models/7x7/dojo/1/dql/2_256_fc/2024-06-24_21-00-29_ppo-38-group-0-70-group-1,91,90,181
